planet_name,host_name,number_of_stars,number_of_planets,discoverymethod,disc_facility,type,class_scores_EB,class_scores_PC,class_scores_V,class_scores_IS,predicted_classification
TOI-5398 b,TOI-5398,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,3.2223826e-07,0.00078904326,0.086635984,0.91257465,IS
TOI-5398 c,TOI-5398,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,3.2223826e-07,0.00078904326,0.086635984,0.91257465,IS
TOI-540 b,TOI-540,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.16910605,0.8303231,9.933201e-07,0.00056985166,PC
TOI-544 b,TOI-544,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.014543019,0.98545545,3.5272137e-08,1.4834688e-06,PC
TOI-5542 b,TOI-5542,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.02704092,0.9729441,2.546223e-08,1.4963213e-05,PC
TOI-558 b,TOI-558,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03042813,0.9695711,2.699554e-09,7.7065755e-07,PC
TOI-559 b,TOI-559,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.000102215075,0.017158806,0.039959036,0.94277996,IS
TOI-561 b,TOI-561,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.109001316,0.8909705,6.340265e-07,2.7470542e-05,PC
TOI-561 c,TOI-561,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.109001316,0.8909705,6.340265e-07,2.7470542e-05,PC
TOI-561 d,TOI-561,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.109001316,0.8909705,6.340265e-07,2.7470542e-05,PC
TOI-561 e,TOI-561,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.109001316,0.8909705,6.340265e-07,2.7470542e-05,PC
TOI-564 b,TOI-564,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.08755765,0.91243994,1.7090105e-07,2.2213846e-06,PC
TOI-5678 b,TOI-5678,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03995911,0.9600372,8.2563005e-08,3.7363816e-06,PC
TOI-5704 b,TOI-5704,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03658889,0.9633929,3.3143485e-07,1.7779774e-05,PC
TOI-5803 b,TOI-5803,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,5.305646e-08,0.00013237995,0.00047756312,0.9993899,IS
TOI-615 b,TOI-615,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.38711578,0.6128447,2.3981403e-07,3.9318264e-05,PC
TOI-622 b,TOI-622,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.5880977,0.41189608,7.2178565e-08,6.0937045e-06,EB
TOI-640 b,TOI-640,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.2320079,0.76799,6.2933547e-09,2.0752207e-06,PC
TOI-672 b,TOI-672,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10034317,0.89965564,1.6419929e-08,1.1473184e-06,PC
TOI-674 b,TOI-674,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.04016196,0.95983714,1.0751837e-08,9.4887616e-07,PC
TOI-677 b,TOI-677,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.8723861,0.12758406,3.8428162e-08,2.9856317e-05,EB
TOI-700 b,TOI-700,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.07127876,0.92871994,1.8809382e-08,1.3066071e-06,PC
