TIC,disc_facility,discoverymethod,number_of_stars,number_of_planets,type,subtype,label,class_scores_EB,class_scores_PC,class_scores_V,class_scores_IS,predicted_classification
TOI-712 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.18840526,0.8115877,4.0056787e-07,6.6812013e-06,PC
TOI-763 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.107080735,0.89291835,1.2633108e-08,9.596566e-07,PC
TOI-763 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.107080735,0.89291835,1.2633108e-08,9.596566e-07,PC
TOI-776 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.031475794,0.9685194,2.4733546e-07,4.61403e-06,PC
TOI-776 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.031475794,0.9685194,2.4733546e-07,4.61403e-06,PC
TOI-836 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.22290675,0.7770848,1.08248486e-07,8.277165e-06,PC
TOI-836 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.22290675,0.7770848,1.08248486e-07,8.277165e-06,PC
TOI-942 b,Transiting Exoplanet Survey Satellite (TESS),Transit,3,2,PC,multiple,1.0,6.8653067e-06,0.0042517353,0.91321456,0.0825268,V
TOI-942 c,Transiting Exoplanet Survey Satellite (TESS),Transit,3,2,PC,multiple,1.0,6.8653067e-06,0.0042517353,0.91321456,0.0825268,V
TOI-969 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,2.320027e-06,0.010500493,0.00041804422,0.98907906,IS
WASP-126 c,Transiting Exoplanet Survey Satellite (TESS),Transit Timing Variations,1,2,PC,multiple,1.0,0.5231995,0.47679558,3.1362893e-07,4.5840907e-06,EB
WASP-132 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.6774254,0.32256007,4.836026e-08,1.4451413e-05,EB
WASP-18 c,Transiting Exoplanet Survey Satellite (TESS),Transit Timing Variations,2,2,PC,multiple,1.0,0.9399875,0.059946064,2.6525144e-05,3.993761e-05,EB
WASP-84 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.95946884,0.040511835,5.8663227e-07,1.8798954e-05,EB
pi Men c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.89648485,0.101541474,9.5288485e-08,0.0019736155,EB
